slug,title,notes,current_excerpt,recommended_excerpt,excerpt_char_count,current_body_plain,recommended_body_html,body_plain_char_count,current_seo_title,recommended_seo_title,seo_title_char_count,current_seo_description,recommended_seo_description,seo_desc_char_count,current_seo_keywords,recommended_seo_keywords,seo_og_image_action
apj-ministries,APJ Ministries - Album Release Website,"Current excerpt/body are identical and generic. Live site is Alicia Peters-Jordan Ministries (gospel recording artist): albums Redeemed and In High Praise, music player, galleries, shop, donate, booking. SEO is empty except an emulator localhost og:image — clear it so OG falls back to the main image. Source: apjministries.com.",A wordpress site for a gospel recording artist,"A WordPress album site built to turn listeners into supporters — player, galleries, and shop.",93,A wordpress site for a gospel recording artist,"<p>I designed and developed the album-release website for Alicia Peters-Jordan Ministries — a Richmond gospel artist whose work is built around worship, testimony, and service. The brief was not a brochure. It needed to sound like the music: inviting on first play, then deep enough to hold releases, photos, video, and a store.</p><p>I built the site in WordPress with a custom music player, image and video galleries, WooCommerce for albums such as <em>Redeemed</em> and <em>In High Praise</em>, and clear paths for booking, donations, and the ministry mission. Navigation, merchandising, and media are all tuned so a first-time visitor can listen, learn, and purchase without hunting through a generic church theme.</p><p>The result is a living catalog and campaign surface — not a one-page splash — that still looks considered on a phone in a sanctuary lobby.</p>",832,,APJ Ministries — Gospel Album WordPress Site,44,,"Alicia Peters-Jordan Ministries WordPress album site — music player, galleries, shop, and booking for a Richmond gospel artist.",127,,WordPress; gospel website; album release; music player; WooCommerce; Alicia Peters-Jordan,Clear emulator localhost URL. Leave blank so OG uses the main image.
frendigo-app,Frendigo App,"Strongest existing body on the site — keep the product facts, rewrite in first person and lead with the marketplace thesis (no surge, subscription vs commissions). SEO title duplicates the post title; description copies the excerpt. Source: frendigo.com clients flow + resume (Senior Lead Developer).","iOS, Android, and web transportation marketplace — cheap rides, great vibes.",A three-platform ride marketplace built to replace surge with subscription pricing and direct pay.,98,"Multi-platform Frendigo app for riders and drivers: commute planner, provider marketplace with transparent estimates, mid-trip maps, itemized fares, and direct pay. Built as a Flutter mobile app with Angular web, Firebase, and Google Maps — subscription pricing from MPG, USDOT, and EIA gas data instead of per-trip commissions.","<p>I am the senior lead developer on Frendigo, a three-platform transportation marketplace I architected so riders and drivers are not trapped in someone else’s surge math. Clients plan commutes, pick providers from a live marketplace, see itemized estimates before they book, and pay the provider directly. Providers set their own rates, vehicles, and add-ons — and keep more of what they earn.</p><p>I built the mobile clients in Flutter for iOS and Android, the web experience in Angular, and the realtime layer on Firebase with Google Maps for mid-trip tracking. Pricing is a subscription engine fed by MPG, USDOT, and EIA gas data rather than a per-trip commission. Reservations can be split across providers, modified after booking, and extended with backtrack when something is left behind.</p><p>The product is in TestFlight and Android beta: a full commute OS, not a skin on a rideshare clone.</p>",889,Frendigo App,"Frendigo App — iOS, Android & Web Marketplace",45,"iOS, Android, and web transportation marketplace — cheap rides, great vibes.","Frendigo transportation marketplace for iOS, Android, and web — transparent estimates, live maps, subscription pricing instead of surge.",136,,Flutter; Angular; Firebase; Google Maps; transportation marketplace; commute app,Clear emulator localhost URL. Leave blank so OG uses the main image.
frendigo-marketing-website,Frendigo Website,Excerpt and body are placeholders. Live site is a dual-persona Angular marketing site (Clients vs Providers) with commute/earnings calculators and comparison storytelling. Source: frendigo.com.,Custom Marketing Website,"A dual-persona marketing site designed to sell the switch — commute and earnings calculators, not a brochure.",109,A public facing marketing website for Frendigo,"<p>I designed and built Frendigo.com as the public face of a product that has to explain itself in one screen: cheap rides, great vibes — then prove it. The site splits immediately into two journeys. Clients get a marketplace story, a commute estimator, and a side-by-side of Frendigo versus opaque surge platforms. Providers get earnings logic, rate control, and a reason to leave the middleman.</p><p>I developed it in Angular with custom illustration, motion, and HTML/CSS/JS — not a theme with a form slapped on. Interactive calculators, persona routing, and campaign-ready graphics do the conversion work that a static landing page cannot. Every module is built to travel: web, app store traffic, and future ops/training properties on the same stack.</p>",747,,Frendigo Marketing Website | Angular,36,,"Frendigo.com marketing site in Angular — dual client/provider personas, commute and earnings calculators, custom graphics.",122,,Angular; marketing website; interactive calculators; dual persona; custom graphics; Frendigo,Clear emulator localhost URL. Leave blank so OG uses the main image.
genworth-r70-age-suit,Genworth — R70 Age Suit,"Body is already factual; rewrite in first person and name the campaign context (R70 age-simulation suit for long-term care education; Genworth #LetsTalk / Fortune 500 insurer). Do not claim you built the physical suit — you built the interactive web infographic and related AEM/LTC work. Sources: PR Newswire 2014, resume (Techead / Genworth 2014–15).",Interactive R70 Age Suit infographic for genworth.com and the PRO Agent portal.,An interactive Age Suit infographic built to let agents and families explore aging without the hardware.,104,"Custom AEM / JavaScript experience for Genworth Financial: an interactive R70 Age Suit infographic with hover targets for vision, hearing, arthritis, and muscle loss, plus help controls for showing, hiding, and explaining each hotspot.

Built while managing content for genworth.com and the PRO Agent portal on Adobe CQ5/AEM, including the Long Term Care responsive upgrade, Eloqua tagging, and SEO (Schema, OG meta, canonicals).","<p>I built the interactive R70 Age Suit infographic for Genworth Financial — a Fortune 500 insurer using a first-of-its-kind age-simulation suit to push long-term care into the national conversation. The physical suit (vision loss, muffled hearing, restricted joints) needed a digital twin agents and families could explore without stepping into the hardware.</p><p>I developed a custom Adobe CQ5/AEM and JavaScript experience with front, side, and back views; hover hotspots for vision, hearing, arthritis, and muscle loss; and help controls to show, hide, and explain each target. It shipped on genworth.com and inside the PRO Agent portal — the same surfaces I was managing as senior content / front-end developer.</p><p>Alongside the infographic I led the Long Term Care site onto a fully responsive layout, tagged journeys for Eloqua, and implemented Schema, Open Graph, and canonicals so the campaign could be found and shared with the gravity it deserved.</p>",949,Genworth — R70 Age Suit,Genworth R70 Age Suit Infographic | AEM,39,Interactive R70 Age Suit infographic for genworth.com and the PRO Agent portal.,"Interactive R70 Age Suit infographic for Genworth — hotspots, three views, AEM/JS, on genworth.com and the PRO Agent portal.",124,,Adobe AEM; CQ5; interactive infographic; Genworth; long term care; JavaScript; Eloqua,Clear emulator localhost URL. Leave blank so OG uses the main image.
industry-4-0,Industry 4.0,"Body undersells a feature-rich dashboard (map, realtime metrics, 3D floor plan, escalation). Frame as a production-monitoring showcase you designed and built. Live demo: react-industry4dot0-app.web.app. Do not invent a named factory client.",A manufacturing facility monitoring dashboard,"A plant-floor dashboard designed to put live metrics, a 3D floor plan, and escalation in one view.",98,"Showcasing an industry 4.0 dashboard that monitors production lines, their outputs, and alerts when there are issues.","<p>I designed and engineered this Industry 4.0 dashboard as a serious operations surface, not a chart gallery. The problem is familiar on a plant floor: production lives in one system, alarms in another, and the floor plan on a PDF someone printed in 2017. I collapsed that into a single React application.</p><p>Operators pick a facility on Google Maps, then drop into real-time line metrics, reports, and a 3D floor plan that locates the fault instead of describing it. When a line degrades I surface the issue and the escalation path in the same view. Visualization is D3 plus custom HTML, CSS, and JavaScript — tuned for glanceability on a control-room display and still usable on a tablet on the floor.</p><p>It is a production-monitoring showcase: the kind of product UI manufacturing teams actually keep open.</p>",803,,Industry 4.0 Manufacturing Dashboard | React,44,,"Industry 4.0 manufacturing dashboard in React + D3 — facility maps, live metrics, 3D floor plan, and issue escalation.",118,,React; D3; Industry 4.0; manufacturing dashboard; Google Maps; 3D floor plan,Clear emulator localhost URL. Leave blank so OG uses the main image.
lumber-liquidators-flash-sale-email-template,Lumber Liquidators Flash Sale Email Template,"Generic excerpt. You were Front-End Developer & UI/UX at Lumber Liquidators (now LL Flooring), 2015–18 — largest specialty hardwood retailer in North America at the time. Flash-sale HTML emails drove urgency on discounted flooring. No live URL. Source: resume + LL sale campaigns of that era.",Custom HTML Template,A flash-sale HTML email created to push hardwood deals across every major inbox.,80,This project was for Lumber Liquidators flash sale emails sent to subscribed customers to generate an urgency to purchase flooring at a discounted price.,"<p>I designed and developed flash-sale email for Lumber Liquidators — then North America’s largest specialty hardwood retailer — for campaigns that had one job: make a subscriber feel the clock. These were not newsletter layouts with a coupon code. They were event emails for time-boxed flooring promotions, built to survive Outlook, Gmail, Apple Mail, and the dark art of nested tables.</p><p>I produced bulletproof HTML/CSS: hero offers, product blocks, and CTA hierarchy that held together when images were blocked and when a merchandising team swapped SKUs at the last hour. The work sat alongside a three-year run leading the responsive, ADA-minded rebuild of lumberliquidators.com — so the email visual language matched the site customers landed on.</p>",747,,Lumber Liquidators Flash Sale HTML Email,40,,Lumber Liquidators flash-sale HTML emails — client-proof templates that turn hardwood promotions into urgency.,110,,HTML email; Lumber Liquidators; LL Flooring; flash sale; email development; retail email,Clear emulator localhost URL. Leave blank so OG uses the main image.
muziktruck-html-email-development,Muziktruck - HTML Email Development,"Thin copy. Little reliable public web footprint for the brand — stay with what the work is: a campaign HTML email with custom graphics, site links, and cross-client compatibility. Do not invent a music-festival backstory.",Custom Email Development,"A campaign HTML email designed to look like a brand in every major inbox, not a Mailchimp default.",98,An email template designed for Muziktruck sent as part of future campaigns,"<p>I designed and coded Muziktruck’s campaign email from the ground up — a high-energy HTML template meant to survive the inbox and still look like a brand, not a default Mailchimp skin. Color, custom graphics, and a clear path back to the website had to work when images were off, when Gmail clipped the height, and when Outlook decided tables were a suggestion.</p><p>I built semantic, table-based HTML and inline CSS tested across major clients, with production-ready modules for future drops: new dates, new art, new links, without a redesign every send. The template is a reusable campaign system, not a one-off JPEG in a cell.</p>",624,,Muziktruck HTML Email Campaign Template,39,,"Muziktruck HTML campaign email — custom graphics, site links, and cross-client markup built for reuse.",102,,HTML email; email development; custom graphics; Muziktruck; campaign template,Clear emulator localhost URL. Leave blank so OG uses the main image.
smallbizniz-llc,Smallbizniz LLC,"Placeholder copy for your own studio site. Live site: smallbizniz.com — React SPA, animated/absolute layouts, services (web/mobile, graphics, 3D print), packages. Source: smallbizniz.com + resume (2015–present freelance).",Custom Website,"A React studio site built to sell custom work — motion, services, and packages, not a $29.99 theme.",99,A small business website showcasing services,"<p>I designed and developed Smallbizniz.com as the flagship for my studio: custom graphics, web and mobile apps, and 3D print/design for small businesses, churches, and nonprofits. It had to feel like the work — energetic, precise, a little defiant of the “as low as $29.99/month” internet.</p><p>I built it as a React single-page application with absolutely positioned, animated compositions, custom HTML/CSS/JS, and a service architecture that walks from craft (apps, graphics, additive manufacturing) into bundles and essentials. Motion is structural, not decorative: it paces the pitch the way a good sales conversation does.</p><p>The site is both portfolio and product — proof that a small studio site can be as considered as an enterprise flagship.</p>",742,,Smallbizniz LLC — Custom React Website,38,,"Smallbizniz.com React studio site — animated layouts, service storytelling, and a brand that sells custom work, not a theme.",124,,React; single page application; studio website; custom graphics; 3D printing; Smallbizniz,Clear emulator localhost URL. Leave blank so OG uses the main image.
speaking-spirit-events,Speaking Spirit Events,"Generic email excerpt. SSM is a multi-campus Richmond ministry (Pastors Fred & Inger Wyatt; Henrico, Chesterfield, Glen Allen, Varina). This piece is HTML email for the events list. Source: speakingspirit.org.",Custom HTML Email Template,An events HTML email created to get a multi-campus congregation from headline to doors-open.,92,An events HTML email template sent to subscribers of the events email list at Speaking Spirit Ministries,"<p>I designed and developed the events HTML email for Speaking Spirit Ministries — a fast-growing, multi-campus Richmond church that needed more than a calendar dump in Times New Roman. Subscribers had to feel the night: color, custom graphics, and a scan path from headline to doors-open.</p><p>I built a client-tested HTML/CSS template with custom illustration, modular event blocks, and CTAs that survive image-blocking. It was engineered for a real list — forwards, dark inboxes, and last-minute copy swaps — so the creative team could ship the next gathering without rebuilding the skeleton.</p>",588,,Speaking Spirit Events HTML Email,33,,Speaking Spirit Ministries events HTML email — custom graphics and production markup for a multi-campus list.,109,,HTML email; church email; Speaking Spirit Ministries; custom graphics; email development,Clear emulator localhost URL. Leave blank so OG uses the main image.
speaking-spirit-university,Speaking Spirit University,"Enrollment email for Speaking Spirit University / Grow University-style new-member flow; original notes Moodle deep links. Keep that. Source: speakingspirit.org (education emphasis, Grow University) + existing feature tags.",HTML Email Template for new enrollment,An enrollment HTML email built to move new members from inbox to Moodle in one tap.,83,A HTML template designed to be sent as part of the new member enrollment process for Speaking Spirit University,"<p>I designed and coded the new-member enrollment email for Speaking Spirit University — the education arm of Speaking Spirit Ministries. First-week energy is easy to waste: a PDF, a login, a dead end. This template had to feel like orientation and still behave like software.</p><p>I built bulletproof HTML/CSS with branded modules and deep links into the SSU Moodle site so a new enrollee can move from announcement to classroom without a scavenger hunt. Markup is tested across major clients so the welcome does not collapse the moment it leaves Mail.</p>",546,,Speaking Spirit University Enrollment Email,43,,Speaking Spirit University enrollment HTML email — branded modules and Moodle links from inbox to class.,104,,HTML email; enrollment email; Moodle; Speaking Spirit University; email development,Clear emulator localhost URL. Leave blank so OG uses the main image.
